category,image_file,rel_path,patient,slice,dice,layer,channel,MAD,MSE,SSIM
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,0.conv.unit0.adn.N,2,0.0263,0.0333,0.9863
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,0.conv.unit0.adn.N,3,0.0253,0.0325,0.9874
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,0.conv.unit0.adn.N,4,0.0235,0.0332,0.9883
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,0.conv.unit1.adn.N,0,0.0217,0.0326,0.9883
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,0.conv.unit1.adn.N,1,0.0232,0.0283,0.989
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,0.conv.unit1.adn.N,2,0.0201,0.0338,0.9906
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,0.conv.unit2.adn.N,1,0.0204,0.029,0.9898
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,0.conv.unit2.adn.N,5,0.0213,0.028,0.9904
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,0.conv.unit2.adn.N,7,0.0211,0.0296,0.9894
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,0.conv.unit3.adn.N,2,0.0236,0.0282,0.9899
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,0.conv.unit3.adn.N,4,0.0219,0.0265,0.9864
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,0.conv.unit3.adn.N,5,0.0235,0.0248,0.9869
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.0.conv.unit0.adn.N,0,0.0261,0.0393,0.9884
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.0.conv.unit0.adn.N,4,0.0252,0.0357,0.9884
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.0.conv.unit0.adn.N,6,0.0251,0.0372,0.9837
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.0.conv.unit1.adn.N,10,0.0298,0.036,0.9793
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.0.conv.unit1.adn.N,12,0.0274,0.018,0.9935
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.0.conv.unit1.adn.N,14,0.0315,0.0355,0.9844
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.0.conv.unit2.adn.N,4,0.0289,0.0221,0.9874
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.0.conv.unit2.adn.N,11,0.032,0.0308,0.9874
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.0.conv.unit2.adn.N,14,0.0283,0.0253,0.989
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.0.conv.unit3.adn.N,3,0.0276,0.0222,0.991
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.0.conv.unit3.adn.N,8,0.0276,0.0289,0.9864
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.0.conv.unit3.adn.N,13,0.0235,0.0154,0.9865
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.1.submodule.0.conv.unit0.adn.N,15,0.031,0.0251,0.9839
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.1.submodule.0.conv.unit0.adn.N,20,0.031,0.0517,0.9728
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.1.submodule.0.conv.unit0.adn.N,22,0.0328,0.0425,0.9784
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.1.submodule.0.conv.unit1.adn.N,3,0.0475,0.0358,0.9752
Extreme_LV→MYO_Misclassification,patient001_frame01_slice9_dice0.0000.png,patient001_frame01_slice9_dice0.0000.png,patient001_frame01,9,0.0,1.submodule.1.submodule.0.conv.unit1.adn.N,8,0.0441,0.0405,0.9807
