category,image_file,rel_path,patient,slice,dice,layer,channel,MAD,MSE,SSIM
LV_+_MYO_Mixed,patient001_frame01_slice1_dice0.0044.png,patient001_frame01_slice1_dice0.0044.png,patient001_frame01,1,0.0044,0.conv.unit0.adn.N,2,0.1186,0.1929,0.9614
LV_+_MYO_Mixed,patient001_frame01_slice1_dice0.0378.png,patient001_frame01_slice1_dice0.0378.png,patient001_frame01,1,0.0378,0.conv.unit0.adn.N,2,0.1186,0.1929,0.9614
LV_+_MYO_Mixed,patient001_frame01_slice1_dice0.0044.png,patient001_frame01_slice1_dice0.0044.png,patient001_frame01,1,0.0044,0.conv.unit0.adn.N,3,0.1067,0.1584,0.964
LV_+_MYO_Mixed,patient001_frame01_slice1_dice0.0378.png,patient001_frame01_slice1_dice0.0378.png,patient001_frame01,1,0.0378,0.conv.unit0.adn.N,3,0.1067,0.1584,0.964
LV_+_MYO_Mixed,patient001_frame01_slice1_dice0.0044.png,patient001_frame01_slice1_dice0.0044.png,patient001_frame01,1,0.0044,0.conv.unit0.adn.N,4,0.079,0.1197,0.9678
LV_+_MYO_Mixed,patient001_frame01_slice1_dice0.0378.png,patient001_frame01_slice1_dice0.0378.png,patient001_frame01,1,0.0378,0.conv.unit0.adn.N,4,0.079,0.1197,0.9678
LV_+_MYO_Mixed,patient001_frame01_slice1_dice0.0044.png,patient001_frame01_slice1_dice0.0044.png,patient001_frame01,1,0.0044,0.conv.unit1.adn.N,1,0.0643,0.0697,0.969
LV_+_MYO_Mixed,patient001_frame01_slice1_dice0.0378.png,patient001_frame01_slice1_dice0.0378.png,patient001_frame01,1,0.0378,0.conv.unit1.adn.N,1,0.0643,0.0697,0.969
LV_+_MYO_Mixed,patient001_frame01_slice1_dice0.0044.png,patient001_frame01_slice1_dice0.0044.png,patient001_frame01,1,0.0044,0.conv.unit1.adn.N,4,0.06,0.0975,0.9751
LV_+_MYO_Mixed,patient001_frame01_slice1_dice0.0378.png,patient001_frame01_slice1_dice0.0378.png,patient001_frame01,1,0.0378,0.conv.unit1.adn.N,4,0.06,0.0975,0.9751
LV_+_MYO_Mixed,patient001_frame01_slice1_dice0.0044.png,patient001_frame01_slice1_dice0.0044.png,patient001_frame01,1,0.0044,0.conv.unit1.adn.N,6,0.0566,0.075,0.9774
LV_+_MYO_Mixed,patient001_frame01_slice1_dice0.0378.png,patient001_frame01_slice1_dice0.0378.png,patient001_frame01,1,0.0378,0.conv.unit1.adn.N,6,0.0566,0.075,0.9774
