category,image_file,rel_path,patient,slice,dice,layer,channel,MAD,MSE,SSIM
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,0.conv.unit0.adn.N,2,0.1039,0.1317,0.9631
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,0.conv.unit0.adn.N,3,0.0954,0.1135,0.9657
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,0.conv.unit0.adn.N,4,0.0699,0.1032,0.971
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,0.conv.unit1.adn.N,1,0.0587,0.057,0.973
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,0.conv.unit1.adn.N,4,0.0559,0.0854,0.9781
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,0.conv.unit1.adn.N,6,0.053,0.0695,0.9755
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,0.conv.unit2.adn.N,1,0.0495,0.0774,0.9733
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,0.conv.unit2.adn.N,5,0.0475,0.0592,0.9758
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,0.conv.unit2.adn.N,6,0.0609,0.0612,0.9708
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,0.conv.unit3.adn.N,2,0.0746,0.0768,0.9791
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,0.conv.unit3.adn.N,3,0.0555,0.0517,0.9702
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,0.conv.unit3.adn.N,5,0.066,0.0651,0.9691
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,1.submodule.0.conv.unit0.adn.N,5,0.077,0.0812,0.9526
Error,patient001_frame01_slice1_dice0.0000.png,patient001_frame01_slice1_dice0.0000.png,patient001_frame01,1,0.0,1.submodule.0.conv.unit0.adn.N,12,0.076,0.0844,0.9678
