category,image_file,rel_path,patient,slice,dice,layer,channel,MAD,MSE,SSIM
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,0.conv.unit0.adn.N,2,0.0955,0.1303,0.9649
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,0.conv.unit0.adn.N,3,0.0887,0.115,0.969
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,0.conv.unit0.adn.N,4,0.0665,0.0932,0.9748
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,0.conv.unit1.adn.N,1,0.0555,0.062,0.9717
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,0.conv.unit1.adn.N,4,0.05,0.0667,0.9804
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,0.conv.unit1.adn.N,6,0.0505,0.0703,0.977
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,0.conv.unit2.adn.N,1,0.0467,0.0669,0.9794
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,0.conv.unit2.adn.N,5,0.0459,0.0657,0.9739
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,0.conv.unit2.adn.N,6,0.0599,0.0672,0.9706
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,0.conv.unit3.adn.N,2,0.078,0.0891,0.9773
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,0.conv.unit3.adn.N,3,0.0527,0.0498,0.9733
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,0.conv.unit3.adn.N,5,0.0599,0.0573,0.9743
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.0.conv.unit0.adn.N,5,0.069,0.0759,0.9525
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.0.conv.unit0.adn.N,12,0.0637,0.0629,0.9737
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.0.conv.unit0.adn.N,15,0.0653,0.0866,0.9568
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.0.conv.unit1.adn.N,5,0.0735,0.084,0.9701
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.0.conv.unit1.adn.N,10,0.0742,0.0777,0.9697
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.0.conv.unit1.adn.N,13,0.0742,0.0642,0.9615
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.0.conv.unit2.adn.N,3,0.0754,0.0634,0.9675
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.0.conv.unit2.adn.N,10,0.0827,0.0941,0.9576
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.0.conv.unit2.adn.N,11,0.0751,0.0832,0.9592
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.0.conv.unit3.adn.N,3,0.0671,0.055,0.9728
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.0.conv.unit3.adn.N,8,0.0929,0.1111,0.958
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.0.conv.unit3.adn.N,13,0.0646,0.0499,0.9536
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.0.conv.unit0.adn.N,1,0.0926,0.1359,0.9163
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.0.conv.unit0.adn.N,14,0.0888,0.1081,0.9461
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.0.conv.unit0.adn.N,31,0.087,0.1101,0.9494
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.0.conv.unit1.adn.N,0,0.0914,0.0768,0.953
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.0.conv.unit1.adn.N,24,0.0896,0.1135,0.9311
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.0.conv.unit1.adn.N,30,0.0964,0.091,0.9503
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.0.conv.unit2.adn.N,11,0.1133,0.1132,0.9366
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.0.conv.unit2.adn.N,22,0.1013,0.0786,0.9421
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.0.conv.unit2.adn.N,31,0.0967,0.0985,0.9346
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.0.conv.unit3.adn.N,2,0.1139,0.0686,0.9383
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.0.conv.unit3.adn.N,10,0.1132,0.0958,0.9369
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.0.conv.unit3.adn.N,16,0.1104,0.0969,0.9313
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.1.submodule.0.conv.unit0.adn.N,4,0.0997,0.078,0.9422
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.1.submodule.0.conv.unit0.adn.N,15,0.1088,0.0809,0.9612
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.1.submodule.0.conv.unit0.adn.N,27,0.1113,0.1089,0.9536
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.1.submodule.0.conv.unit1.adn.N,17,0.1428,0.1223,0.9178
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.1.submodule.0.conv.unit1.adn.N,34,0.131,0.1058,0.9297
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.1.submodule.0.conv.unit1.adn.N,47,0.1272,0.1023,0.9229
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.1.submodule.0.conv.unit2.adn.N,22,0.1894,0.1053,0.848
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.1.submodule.0.conv.unit2.adn.N,39,0.1741,0.1196,0.9492
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.1.submodule.0.conv.unit2.adn.N,40,0.1905,0.1345,0.8668
RV_+_Others,patient001_frame01_slice2_dice0.1623.png,patient001_frame01_slice2_dice0.1623.png,patient001_frame01,2,0.1623,1.submodule.1.submodule.1.submodule.0.conv.unit3.adn.N,31,0.2739,0.1891,0.901
